1,0.73362,0.60953,1,1,1,2,4,0.5,0,0,4,0,0,0.5,0
2,0,0,1,1,0,0,0,0,0,1,4,1,0,0.5,1
3,0,0,1,1,0,0,0,0,0,1,4,1,0,0.5,2
4,0,0,2,1,0,2,0,0,0,1,4,1,0,0.5,3
5,0,0.67612,3,1,0,3,5,0.36305,0,1,4,0,0,0.86305,4
6,0,0,1,1,0,0,0,0,0,2,4,1,0,0.86305,5
7,0,0.5984,3,1,0,3,5,0.081177,0,2,4,0,0,0.94422,6
8,0.67851,0.6344,1,1,2,3,5,0.027364,0,3,4,0,0,0.97159,7
9,0.63059,0.48053,1,1,1,2,4,0.96581,0,4,4,0,0,1.9374,8
10,0,0,1,1,0,0,0,0,0,5,4,1,0,1.9374,9
11,0,0.61085,3,1,0,3,5,0.21617,0,5,4,0,0,2.1536,10
12,0,0.67769,3,1,0,3,4,0.9545,1,0,4,0,0,3.1081,11
13,0,0,1,1,0,0,0,0,1,1,4,1,0,3.1081,12
14,0,0.54394,3,1,0,3,4,0.98001,1,1,4,0,0,4.0881,13
15,0.71217,0.6707,1,1,2,3,4,0.95785,1,2,4,0,0,5.0459,14
16,0,0.54416,3,1,0,3,5,0.10355,0,0,4,0,0,5.1495,15
17,0.6005,0,1,1,1,2,0,0,0,1,4,1,0,5.1495,16
18,0,0.61739,2,1,0,2,4,0.84574,0,1,4,0,0,5.9952,17
19,0,0.59296,3,1,0,3,5,0.16871,0,2,4,0,0,6.1639,18
20,0.66135,0.44244,1,1,1,2,4,0.96244,0,3,4,0,0,7.1264,19
21,0,0,1,1,0,0,0,0,1,0,4,1,0,7.1264,20
22,0,0.55729,3,1,0,3,4,0.71434,1,0,4,0,0,7.8407,21
23,0,0.70136,2,1,0,2,5,0.19882,1,1,4,0,0,8.0395,22
24,0.54897,0.4979,1,1,1,2,5,0.25602,1,2,4,0,0,8.2955,23
25,0,0.56671,2,1,0,2,5,0.28119,1,3,4,0,0,8.5767,24
26,0,0.46961,3,1,0,3,4,0.9328,1,4,4,0,0,9.5095,25
27,0,0.60343,3,1,0,3,5,0.02886,0,0,4,0,0,9.5384,26
28,0,0.56659,2,1,0,2,4,0.91599,0,1,4,0,0,10.454,27
29,0.57818,0.53809,1,1,2,3,5,0.11576,0,2,4,0,0,10.57,28
30,0.49792,0.56813,1,1,1,2,4,0.99226,0,3,4,0,0,11.562,29
31,0.57705,0.64041,1,1,2,3,5,0.19751,0,4,4,0,0,11.76,30
32,0,0.55057,2,1,0,2,4,0.92893,0,5,4,0,0,12.689,31
33,0,0.58449,3,1,0,3,4,0.78231,1,0,4,0,0,13.471,32
34,0,0.65629,3,1,0,3,4,0.72825,1,1,4,0,0,14.199,33
35,0,0.56679,2,1,0,2,5,0.21114,1,2,4,0,0,14.411,34
36,0,0.52637,3,1,0,3,4,0.96079,1,3,4,0,0,15.371,35
37,0.66777,0.62516,1,1,1,2,5,0.020575,1,4,4,0,0,15.392,36
38,0.70113,0.66624,1,1,2,3,4,0.83315,1,5,4,0,0,16.225,37
